,text,label
0,wearing a fake engagement ring so guys won’t approach you at the library &gt;&gt;&gt;&gt;,2
1,Bees vs. Wasps. http,1
2,Here is a nice equation: 0+0-0-0+0=0,1
3,@user @user Enjoy each new day!😊🇨🇦🐞🐭,2
4,I can be having a perfectly good day then I think about Star Wars episode 9 and it’s instantly ruined,2
5,@user If only we could have seen Thurman vs Jeff Horn.,1
6,made really ballerific salted caramel brownies and this was the best process shot I’ve ever taken http,1
7,@user Every clipper season is easily better then rose and 2017 too,1
8,“If you trust them they will always be here for us too” 💕💕💕 http,3
9,@user E no sure for any body,1
10,"@user lmao, u saying that she should kill herself is cool tho right?",2
11,Kash doll and ray snapped on Giovannis way,1
12,@user was that YOU dancing in ur recent story???!!! 😯,4
13,Dm to buy full vids of local coloured mense fucking😍 http,4
14,@user And then you change into your NSFW account and like them http,3
15,"But I, I can feel it take a hold I vote #WatermelonSugar as #BestMusicVideo at the #iHeartAwards",1
16,Who should I draw on my live to entertain the horny mfs I know are gonna show up,3
17,"how do people have so many liked songs on spotify, i only have 17 help",3
18,Try that again Timmy... Ill turn you into bonemeal http,1
19,@user @PattyArquette @SecPompeo That is simply not true! US combat deaths in Afghanistan highest in years. http,2
20,"mama ku panggil rp san ntu abang, so i have to call him uncle.",2
21,Leicester City fans - keep an eye on Ross Barkley. Could be moving to the Foxes on a permanent for £11m... #lcfc,1
22,What if i just got thick as shit😆 I can’t even picture myself like that,3
23,"""Small deeds done are better than great deeds planned."" Peter Marshall #QuoteOfTheDay http",1
24,#AccordingToRashidAbdi Bole airport is under the control of tplf and no more control of wfp flights to mekele!,1
25,@user Always my brother.. always be with u💚,2
26,@user @user @user I don't give out my personals online.,1
27,People in your social network may be able to rely on you today... More for Aquarius http,1
28,"@user Furthermore, harassment is ILLEGAL in any form!",2
29,Work work work,1
30,@user @user @user Look at this bro,1
31,@user It’s interesting to hear as we in Australia really have no idea what the situation is. Thanks for that.,2
32,@user @user Hello mate. Any chance you could share this please? 😁 http,1
33,for you i’d bleed myself dry.,4
34,Just 10 weekends y’all! Ohio State @ Minn UNC @ VT Penn St @ Wisc Alabama vs Miami Georgia vs Clemson LSU @ UCLA Notre Dame vs FSU,1
35,"@user @mehdirhasan in addition, how can you change a rule written by god. he didn't just change his mind",2
36,@user @user Holy crap! Suzi took that photo! That’s hilarious!,3
37,@user @user South African chutney?,1
38,@user @user Dragon angling darma,2
39,@user hmm 🙃,1
40,Ousted Myanmar President says army tried to force him to resign hours before coup http http,1
