text,label
wearing a fake engagement ring so guys won’t approach you at the library >>>>,1.8
Bees vs. Wasps. http,1.0
Here is a nice equation: 0+0-0-0+0=0,1.0
Enjoy each new day!😊🇨🇦🐞🐭,1.6
I can be having a perfectly good day then I think about Star Wars episode 9 and it’s instantly ruined,1.6
If only we could have seen Thurman vs Jeff Horn.,1.25
made really ballerific salted caramel brownies and this was the best process shot I’ve ever taken http,1.2
Every clipper season is easily better then rose and 2017 too,1.4
“If you trust them they will always be here for us too” 💕💕💕 http,3.0
E no sure for any body,1.0
"lmao, u saying that she should kill herself is cool tho right?",1.6
Kash doll and ray snapped on Giovannis way,1.3333333333333333
was that YOU dancing in your recent story???!!! 😯,4.0
Dm to buy full videos of local coloured mens fucking😍 http,4.4
And then you change into your NSFW account and like them http,2.6
"But I, I can feel it take a hold I vote #WatermelonSugar as #BestMusicVideo at the #iHeartAwards",1.0
Who should I draw on my live to entertain the horny mfs I know are gonna show up,3.0
"how do people have so many liked songs on spotify, i only have 17 help",2.6
Try that again Timmy... Ill turn you into bonemeal http,1.4
That is simply not true! US combat deaths in Afghanistan highest in years. http,1.8
"my mother called rp san ntu abang, so i have to call him uncle.",2.5
Leicester City fans - keep an eye on Ross Barkley. Could be moving to the Foxes on a permanent for £11m... #lcfc,1.25
What if i just got thick as shit😆 I can’t even picture myself like that,2.6
"""Small deeds done are better than great deeds planned."" Peter Marshall #QuoteOfTheDay http",1.2
#AccordingToRashidAbdi Bole airport is under the control of tplf and no more control of wfp flights to mekele!,1.0
Always my brother.. always be with u💚,2.5
I don't give out my personals online.,1.4
People in your social network may be able to rely on you today... More for Aquarius http,1.0
"Furthermore, harassment is ILLEGAL in any form!",1.75
Work work work,1.0
Look at this bro,1.25
It’s interesting to hear as we in Australia really have no idea what the situation is. Thanks for that.,1.5
Hello mate. Any chance you could share this please? 😁 http,1.2
for you i’d bleed myself dry.,4.0
Just 10 weekends y’all! Ohio State @ Minn UNC @ VT Penn St @ Wisc Alabama vs Miami Georgia vs Clemson LSU @ UCLA Notre Dame vs FSU,1.0
"in addition, how can you change a rule written by god. he didn't just change his mind",2.2
Holy crap! Suzi took that photo! That’s hilarious!,2.8
South African chutney?,1.25
Dragon angling darma,2.25
hmm 🙃,1.3333333333333333
Ousted Myanmar President says army tried to force him to resign hours before coup http http,1.2
Belkin_crack on Instagram helped me with same issues last week,1.6
this isn't a joke this is a fear I've developed in the last year or two,2.0
celebrity privilege never surprises me.,1.5
that day is today,1.4
‘85 Sugar Bowl,1.0
In Blues case a very Fluffy Fluffer ..lol,2.0
In the hood we just say scope but for sure I’ll start being politically correct 💯,1.75
no group of friends? it’s okay i still have one who’s true not fake.,1.75
Mission accomplished. http,1.0
"Damn Shame, you tipped a $1.30",2.25
Bunny with shades of the legendary Kelly Kelly with that headscissors #WrestleMania,1.0
Bet they are missing us ? Brexit done without them,1.2
Think you will find we won 22 Bronze not 4,2.4
"Mariano Fortuny y Madrazo ( 11 May 1871 – 3 May 1949), was a Spanish http",1.25
Half of them are me tweeting Irene pics let's be honest 😭😭,2.2
"""That's my lil brother anw""",1.8
"Impliedly, that’s what you are saying.",1.0
It’s crazy how #RHOP really gets the people going,2.0
I never collect am !! Oo,1.0
You follow Chaatne wala media which are pro Anti-India,1.0
Bet yah ass was still in a diaper fuck outta here lmaooo,1.25
"advertise,buy and sell on .....The Broker Marketplace......for free......welcome",1.0
as much as i love you….. not this one,2.6
In less that a month I will know if I move to the other side of the world in August 😬,1.8
broken promise ...you was wrong fa that 🙇🏿‍♂️💯,2.0
"Condolences to the family, friends and our community. 💔",3.0
I vote for BTS 'Dynamite' by Son Sung Deuk for #FaveChoreography at #iHeartAwards _twt,1.4
"“Follow God’s example, therefore, as dearly loved children” Ephesians 5:1",1.6
🤣🤣🤣🤣thank you TakaTina my baby kicked...kķkkķk was kinda worried the whole morning,3.25
_twt Jung hoseok I vote #BTSARMY for #BestFanArmy at the 2021 #iHeartAwards _twt,1.0
Come on! I’m so done with the bullshit! If females r so stupid to allow this then shame on them because they look like fools!,1.6
I just want to live life to the fullest,3.0
"he looks so smol when he tripped and then he says that it was a nice b-boy move,,, im cackling http",1.6
For this I bless you most: You give much and know not that you give at all. - Khalil Gibran #quote,1.6
"This is how it would be for me. It's humiliating, and embarrassing, and a waste of my time and energy...",3.2
I need you mf to step your game up cause the way this man came at me I almost threw up .,2.333333333333333
Thank you for your support. We are going to resist all such dictatorial moves on the part of HED and the provincial government.,1.8
A piece of candy.,1.0
They about to cook that mf 😂,1.75
_thinker   _bear  Thank you to Archana and,1.0
I can surely make your banner DM me,2.25
Either of your tournament winners 👌,1.0
Marijuana is not a performance enhancing drug. Unless you're competing for the gold in snack eating.,1.0
g une update,1.0
Beyoncé is overrated,1.2
He was in coma these two years Hahahaha #BringMehrabBack,1.6
your pretty,2.8
he wants to have a partyyy 😭😭😭😭,2.0
"But, I’m truly lucky that you always be there for me in a certain time. People come and go, right? :D",3.0
tbh i think i like orange juice more than apple juice now,1.2
Boys make such cute girls http,2.0
This man of God gets it. http,2.0
"nova, loaded, chiz curls !",2.0
I concur 🤣🤣🤣,1.0
yasss bestie I've been streaming 24/7 na hahaha manifesting bts to come here in the pH 🥲🙏💕,3.0
Eat her out dick her down cuddle up,5.0
Vote for  Cold as your Track of the Week. http http,1.25
thanks for the follow,1.25
I can make it 20k,1.6
future fighter is lego's best opening because it's sung by onoken and hosoya and honestly no one can reach their level,1.4
Check out my latest #podcast http on #Podbean,1.4
Lrt honestly tho. They be having Earth-20493 or sumn.,1.8
My bed is covered in sexualized paraffin,3.2
How exciting.,1.0
It’s my first birthday away from home and I’m low key sad,2.6
Spring day I vote for #BTS _twt for #BestDuoGroupOfTheYear at the #iHeartAwards,1.0
If a bird shits on your window that good luck right??,1.2
Have you ever ate a wax cube? It’s kinda like that. But more crumbly and somehow sadder,1.2
i was trying to procrastinate by going on twitter but i ended up studying too 😭😭,2.4
Lol very cute for vaca to match 💅🏽 I only did white like twice 😫🤣 only to match my set.,2.0
now is not the time...,2.0
This is a great version as well - http,1.4
I can do so much for you,3.25
Three years ago Dying Wish played our first show with  and became a five piece band http,1.8
You have just said your grandchild had a cold how did he have covid? That doesn't mean kids can get it,1.6
I’d rather have a bathroom sink instead,1.0
okay wait,1.3333333333333333
Of course. Tell me anything.,2.5
That's totally racist. Immigration rules don't apply!,1.75
It shows your parents standard and your locality..from where you belongs!!,2.0
I have uploaded the picture of the meme for you,1.2
guess it worked,1.2
I don't see how people can be so nasty. #Hoarders,1.6
Dike shouldn’t be in MLS at all,2.2
trying to be better everyday.,2.0
what's stopping u http,2.0
my problem is i always decide to have a private concert when im listening to music while “writing” instead of doing any actual writing,1.25
"Chromatica, Koatica and Galactica in the same room to see who is the first one born on this galaxy ... http",1.2
#CriticalThinking skills desperately needed.,1.4
Do you ever have the urge to look at Reggie hentai?,3.0
utah people decide they want to be motivational speakers with no training or therapy or education whatsoever and it’s so weird,2.2
Yes no problem,2.2
normalize acting like iz*one didn't disband,1.25
im an obnoxious and weird but people still love me. if your friends dont like you because you're obnoxious and weird: get better friends,2.2
hey bast thanks for giving me the first stepping stones to realising how flawed christianity was before i left it,1.8
Good morning. http,2.0
have a good night,3.25
Big erse that 😜😜🤣,2.5
what's good yow,1.0
The “fuck that job” spirit heavy in this house today 😩,2.0
Bartman made everything smooth and easy! Would sell to him again :-) LEGIT!,2.4
I vote for cardigan by taylor swift for the Best Lyrics award #cardigan #BestLyrics #iHeartAwards the 1,1.2
Istg this thing has crack in it http,1.25
Earning money by #buyingcars and #sellingcars is not exclusive to a car salesman only. #CarBusiness -- http,1.0
Do I want to go to Waikiki with the girls or stay home..I’m going to stay home 😅,2.2
"13. marami but i'll give a few...people leaving me, not reaching my own expectations and people hating me...",1.8
So who was it then http,1.3333333333333333
I want a man that’s just orgasmic and just understand me and even if he don’t still respects me and loves it all like MMM.,3.25
Keep driving but i slow down lol,1.6
He want my number had to hit him with that “mmm mmm” http,3.2
Happy Birthday!!!! Long live ♊ Mine is June 15th!,1.8
"I hate my brother! He just booked his vaccine and isn’t telling me how I can, he is literally the definition of gatekeeper",2.8
Isn’t that the team that had a YouTube series after it,1.8
yooo why is it quiet today🤨🤨,1.2
"good morning o, come, are you not a Muslim?",2.75
Hung. (Over.),1.5
When they don't give me the sippy lids at starbucks I almost return the whole drink,1.4
I can sense him through my aquarius powers as well,1.2
the pretty reckless. but the rest of the band is men so...,1.75
I thought it was an AC DC day for you?😜😜😜,3.25
"wow, nice projects, let's go join 🔥    $SANA #Airdrop",1.0
Dems supported Antifa did it,1.4
ـ Life is too short don't spend it with people who don't make you happy .🕊 http,2.2
"You have been busy this week, Wendy.",1.6
I was worried it was a broken jar and he swallowed glass.,2.0
The lyrics on genius to makeup drawer are wrong it’s “and i know where you’ve been... and you know where i’ve been”,1.0
tired of sleeping all day long but still wanting to go to sleep,1.75
It's just me or my dick gets bigger every week? 🙊🍆🤔😳🥺🤯 http,3.8
